[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/httplib2/auth.py first seen with mtime 1649369081.1214335
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1649369061.113576
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth2/rfc6749/grant_types/resource_owner_password_credentials.py first seen with mtime 1649369081.895047
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/os.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/_collections_abc.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/management/commands/__init__.py first seen with mtime 1649369061.1216369
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth1/rfc5849/endpoints/access_token.py first seen with mtime 1649369081.8659422
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/_markupbase.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/request.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth1/rfc5849/endpoints/resource.py first seen with mtime 1649369081.868938
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/backends/base/features.py first seen with mtime 1649369061.1443748
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/files/uploadhandler.py first seen with mtime 1649369061.111457
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/backends/base/schema.py first seen with mtime 1649369061.1465778
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1649369061.1947243
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/app/apps.py first seen with mtime 1649368949.5663736
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/core/files/temp.py first seen with mtime 1649369061.1106358
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/chardet/codingstatemachine.py first seen with mtime 1649370761.5112698
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1649369061.1628885
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/shortcuts.py first seen with mtime 1649369058.9264436
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/importlib/util.py first seen with mtime 1613742517.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/requests_oauthlib/oauth2_session.py first seen with mtime 1649369082.0310729
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/auth/views.py first seen with mtime 1649369059.5821452
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/asgiref/local.py first seen with mtime 1649369058.6725922
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/requests/sessions.py first seen with mtime 1649369080.8388572
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/app/__init__.py first seen with mtime 1649368949.565198
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/unittest/__init__.py first seen with mtime 1613742519.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/urllib3/util/connection.py first seen with mtime 1649369080.6189218
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/unittest/loader.py first seen with mtime 1613742519.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/migrations/utils.py first seen with mtime 1649369061.1730516
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/chardet/eucjpprober.py first seen with mtime 1649370761.5150323
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/_parseaddr.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/rsa/pkcs1.py first seen with mtime 1649369080.4615
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/sqlparse/formatter.py first seen with mtime 1649369058.8164303
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/datetime.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/reprlib.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/admin/sites.py first seen with mtime 1649369059.1488526
